city,mean_odw,mean_iq_odw,mean_odw_hw,mean_iq_odw_hw,year
Adelaide,1,1,1,1,2019
Brisbane,1,1,1,1,2019
Melbourne,1,1,1,1,2019
Perth,1,1,1,1,2019
Sydney,1,1,1,1,2019
Adelaide,1.0061277759197667,1.0931248766632977,1.010950979305004,1.1340520502039075,2020
Brisbane,0.977704072337658,1.0612886814664013,0.9710511501724916,1.0434887125699563,2020
Melbourne,0.9321941307779774,0.6949722103077264,0.9122306689433692,0.6324007005004058,2020
Perth,0.9863883459254816,0.9693938104793046,0.9836692525600987,0.9589226497081687,2020
Sydney,0.9730570422310613,0.8953727722930308,0.9677295666811211,0.897857344143318,2020
